num_spheres,width,height,run,time_ms,runtime
25,1280,720,1,44.3299,gpu_layered
25,1280,720,2,34.0158,gpu_layered
25,1280,720,3,34.0072,gpu_layered
25,1280,720,4,34.0676,gpu_layered
25,1280,720,5,34.0564,gpu_layered
25,1280,720,6,34.0548,gpu_layered
25,1280,720,7,34.025,gpu_layered
25,1280,720,8,34.106,gpu_layered
25,1280,720,9,34.1443,gpu_layered
25,1920,1080,0,76.2561,gpu_layered
25,1920,1080,1,75.8265,gpu_layered
25,1920,1080,2,76.2455,gpu_layered
25,1920,1080,3,76.1739,gpu_layered
25,1920,1080,4,76.9093,gpu_layered
25,1920,1080,5,76.3889,gpu_layered
25,1920,1080,6,77.1724,gpu_layered
25,1920,1080,7,77.3018,gpu_layered
25,1920,1080,8,76.61,gpu_layered
25,1920,1080,9,76.8859,gpu_layered
50,320,180,0,2.99262,gpu_layered
50,320,180,1,2.96678,gpu_layered
50,320,180,2,2.98608,gpu_layered
50,320,180,3,2.98619,gpu_layered
50,320,180,4,2.98046,gpu_layered
50,320,180,5,2.98044,gpu_layered
50,320,180,6,2.99122,gpu_layered
50,320,180,7,2.98618,gpu_layered
50,320,180,8,2.99281,gpu_layered
50,320,180,9,3.01701,gpu_layered
50,640,360,0,10.3366,gpu_layered
50,640,360,1,10.3398,gpu_layered
50,640,360,2,13.638,gpu_layered
50,640,360,3,13.6226,gpu_layered
50,640,360,4,13.6,gpu_layered
50,640,360,5,13.6069,gpu_layered
50,640,360,6,13.6535,gpu_layered
50,640,360,7,13.6985,gpu_layered
50,640,360,8,13.6349,gpu_layered
50,640,360,9,13.6221,gpu_layered
50,1280,720,0,51.6633,gpu_layered
50,1280,720,1,44.9025,gpu_layered
50,1280,720,2,39.3982,gpu_layered
50,1280,720,3,39.3158,gpu_layered
50,1280,720,4,39.2683,gpu_layered
50,1280,720,5,39.3162,gpu_layered
50,1280,720,6,39.2328,gpu_layered
50,1280,720,7,39.6252,gpu_layered
50,1280,720,8,39.2578,gpu_layered
50,1280,720,9,39.2766,gpu_layered
50,1920,1080,0,89.0675,gpu_layered
50,1920,1080,1,88.8772,gpu_layered
50,1920,1080,2,88.9964,gpu_layered
50,1920,1080,3,89.4343,gpu_layered
50,1920,1080,4,89.12,gpu_layered
50,1920,1080,5,88.669,gpu_layered
50,1920,1080,6,89.1871,gpu_layered
50,1920,1080,7,88.9953,gpu_layered
50,1920,1080,8,89.2188,gpu_layered
50,1920,1080,9,89.1839,gpu_layered
100,320,180,0,3.78435,gpu_layered
100,320,180,1,3.76543,gpu_layered
100,320,180,2,3.77316,gpu_layered
100,320,180,3,3.74365,gpu_layered
100,320,180,4,3.75533,gpu_layered
100,320,180,5,3.76258,gpu_layered
100,320,180,6,3.74584,gpu_layered
100,320,180,7,3.77768,gpu_layered
100,320,180,8,3.74722,gpu_layered
100,320,180,9,3.74956,gpu_layered
100,640,360,0,11.9611,gpu_layered
100,640,360,1,15.9195,gpu_layered
100,640,360,2,16.0068,gpu_layered
100,640,360,3,15.9007,gpu_layered
100,640,360,4,15.9175,gpu_layered
100,640,360,5,15.9124,gpu_layered
100,640,360,6,15.9691,gpu_layered
100,640,360,7,15.9141,gpu_layered
100,640,360,8,15.9424,gpu_layered
100,640,360,9,15.9548,gpu_layered
100,1280,720,0,58.5732,gpu_layered
100,1280,720,1,44.0089,gpu_layered
100,1280,720,2,44.0926,gpu_layered
100,1280,720,3,44.1267,gpu_layered
100,1280,720,4,44.2112,gpu_layered
100,1280,720,5,44.4299,gpu_layered
100,1280,720,6,43.9699,gpu_layered
100,1280,720,7,44.044,gpu_layered
100,1280,720,8,44.1506,gpu_layered
100,1280,720,9,43.976,gpu_layered
100,1920,1080,0,100.271,gpu_layered
100,1920,1080,1,98.5654,gpu_layered
100,1920,1080,2,98.5776,gpu_layered
100,1920,1080,3,98.8812,gpu_layered
100,1920,1080,4,98.7779,gpu_layered
100,1920,1080,5,98.9328,gpu_layered
100,1920,1080,6,98.2176,gpu_layered
100,1920,1080,7,100.431,gpu_layered
100,1920,1080,8,99.0589,gpu_layered
100,1920,1080,9,98.5123,gpu_layered
200,320,180,0,9.02623,gpu_layered
200,320,180,1,9.03229,gpu_layered
200,320,180,2,9.02857,gpu_layered
200,320,180,3,8.99188,gpu_layered
200,320,180,4,9.02286,gpu_layered
200,320,180,5,8.99452,gpu_layered
200,320,180,6,9.00895,gpu_layered
200,320,180,7,8.99498,gpu_layered
200,320,180,8,8.9781,gpu_layered
200,320,180,9,9.00677,gpu_layered
200,640,360,0,31.2177,gpu_layered
200,640,360,1,42.5433,gpu_layered
200,640,360,2,42.5753,gpu_layered
200,640,360,3,42.5756,gpu_layered
200,640,360,4,42.6274,gpu_layered
200,640,360,5,42.6543,gpu_layered
200,640,360,6,42.5898,gpu_layered
200,640,360,7,42.5464,gpu_layered
200,640,360,8,42.6042,gpu_layered
200,640,360,9,42.6434,gpu_layered
200,1280,720,0,160.266,gpu_layered
200,1280,720,1,122.438,gpu_layered
200,1280,720,2,120.924,gpu_layered
200,1280,720,3,122.457,gpu_layered
200,1280,720,4,122.959,gpu_layered
200,1280,720,5,122.798,gpu_layered
200,1280,720,6,122.89,gpu_layered
200,1280,720,7,121.509,gpu_layered
200,1280,720,8,120.922,gpu_layered
200,1280,720,9,122.984,gpu_layered
200,1920,1080,0,276.577,gpu_layered
200,1920,1080,1,274.348,gpu_layered
200,1920,1080,2,274.907,gpu_layered
200,1920,1080,3,276.668,gpu_layered
200,1920,1080,4,279.336,gpu_layered
200,1920,1080,5,279.316,gpu_layered
200,1920,1080,6,276.371,gpu_layered
200,1920,1080,7,275.664,gpu_layered
200,1920,1080,8,278.979,gpu_layered
