num_spheres,width,height,run,time_ms,runtime
10,320,180,1,2.05052,gpu_layered
10,320,180,2,2.02106,gpu_layered
10,320,180,3,2.02614,gpu_layered
10,320,180,4,2.00824,gpu_layered
10,320,180,5,2.03532,gpu_layered
10,320,180,6,2.00437,gpu_layered
10,320,180,7,2.01806,gpu_layered
10,320,180,8,2.02453,gpu_layered
10,320,180,9,2.01658,gpu_layered
10,640,360,0,7.29733,gpu_layered
10,640,360,1,7.36783,gpu_layered
10,640,360,2,7.30866,gpu_layered
10,640,360,3,9.34105,gpu_layered
10,640,360,4,9.29845,gpu_layered
10,640,360,5,9.33833,gpu_layered
10,640,360,6,9.3579,gpu_layered
10,640,360,7,9.36593,gpu_layered
10,640,360,8,9.29549,gpu_layered
10,640,360,9,9.35132,gpu_layered
10,1280,720,0,36.3717,gpu_layered
10,1280,720,1,28.3435,gpu_layered
10,1280,720,2,28.3366,gpu_layered
10,1280,720,3,28.3402,gpu_layered
10,1280,720,4,28.4344,gpu_layered
10,1280,720,5,28.2126,gpu_layered
10,1280,720,6,28.2512,gpu_layered
10,1280,720,7,28.2296,gpu_layered
10,1280,720,8,28.2787,gpu_layered
10,1280,720,9,28.2449,gpu_layered
10,1920,1080,0,63.7891,gpu_layered
10,1920,1080,1,63.2602,gpu_layered
10,1920,1080,2,63.2937,gpu_layered
10,1920,1080,3,63.528,gpu_layered
10,1920,1080,4,63.2796,gpu_layered
10,1920,1080,5,63.255,gpu_layered
10,1920,1080,6,63.2628,gpu_layered
10,1920,1080,7,63.3588,gpu_layered
10,1920,1080,8,63.5841,gpu_layered
10,1920,1080,9,63.2319,gpu_layered
25,320,180,0,2.48823,gpu_layered
25,320,180,1,2.47047,gpu_layered
25,320,180,2,2.47987,gpu_layered
25,320,180,3,2.48315,gpu_layered
25,320,180,4,2.47398,gpu_layered
25,320,180,5,2.47752,gpu_layered
25,320,180,6,2.48515,gpu_layered
25,320,180,7,2.49828,gpu_layered
25,320,180,8,2.47513,gpu_layered
25,320,180,9,2.47859,gpu_layered
25,640,360,0,8.86002,gpu_layered
25,640,360,1,8.79472,gpu_layered
25,640,360,2,8.81126,gpu_layered
25,640,360,3,11.4598,gpu_layered
25,640,360,4,11.4799,gpu_layered
25,640,360,5,11.4761,gpu_layered
25,640,360,6,11.4703,gpu_layered
25,640,360,7,11.4872,gpu_layered
25,640,360,8,11.4506,gpu_layered
25,640,360,9,11.4366,gpu_layered
